user_id,event,event_date,ab_variant,device,channel
PF00001,app_open,2024-06-13,Control,Web,Social Media
PF00002,app_open,2024-01-08,Variant_B,Web,Paid Ads
PF00002,signup_start,2024-01-08,Variant_B,Web,Paid Ads
PF00002,signup_complete,2024-01-09,Variant_B,Web,Paid Ads
PF00002,onboarding_start,2024-01-11,Variant_B,Web,Paid Ads
PF00002,onboarding_complete,2024-01-11,Variant_B,Web,Paid Ads
PF00003,app_open,2024-03-03,Variant_B,Android,Referral
PF00003,signup_start,2024-03-03,Variant_B,Android,Referral
PF00003,signup_complete,2024-03-05,Variant_B,Android,Referral
PF00004,app_open,2024-02-05,Variant_B,Android,Organic Search
PF00004,signup_start,2024-02-05,Variant_B,Android,Organic Search
PF00004,signup_complete,2024-02-07,Variant_B,Android,Organic Search
PF00004,onboarding_start,2024-02-08,Variant_B,Android,Organic Search
PF00004,onboarding_complete,2024-02-10,Variant_B,Android,Organic Search
PF00005,app_open,2024-06-23,Variant_B,Android,Organic Search
PF00005,signup_start,2024-06-24,Variant_B,Android,Organic Search
PF00005,signup_complete,2024-06-25,Variant_B,Android,Organic Search
PF00005,onboarding_start,2024-06-26,Variant_B,Android,Organic Search
PF00005,onboarding_complete,2024-06-26,Variant_B,Android,Organic Search
PF00006,app_open,2024-05-19,Variant_B,Android,Referral
PF00006,signup_start,2024-05-20,Variant_B,Android,Referral
PF00006,signup_complete,2024-05-21,Variant_B,Android,Referral
PF00006,onboarding_start,2024-05-21,Variant_B,Android,Referral
PF00006,onboarding_complete,2024-05-22,Variant_B,Android,Referral
PF00007,app_open,2024-06-01,Variant_B,Android,Social Media
PF00007,signup_start,2024-06-01,Variant_B,Android,Social Media
PF00007,signup_complete,2024-06-02,Variant_B,Android,Social Media
PF00008,app_open,2024-01-09,Variant_B,Android,Social Media
PF00008,signup_start,2024-01-09,Variant_B,Android,Social Media
PF00008,signup_complete,2024-01-09,Variant_B,Android,Social Media
PF00008,onboarding_start,2024-01-10,Variant_B,Android,Social Media
PF00008,onboarding_complete,2024-01-12,Variant_B,Android,Social Media
PF00008,kyc_submitted,2024-01-14,Variant_B,Android,Social Media
PF00008,kyc_approved,2024-01-15,Variant_B,Android,Social Media
PF00008,first_transaction,2024-01-15,Variant_B,Android,Social Media
PF00009,app_open,2024-01-24,Variant_B,Android,Social Media
PF00009,signup_start,2024-01-25,Variant_B,Android,Social Media
PF00010,app_open,2024-02-29,Control,Android,Social Media
PF00011,app_open,2024-05-23,Variant_B,Android,Referral
PF00011,signup_start,2024-05-25,Variant_B,Android,Referral
PF00011,signup_complete,2024-05-26,Variant_B,Android,Referral
PF00011,onboarding_start,2024-05-27,Variant_B,Android,Referral
PF00011,onboarding_complete,2024-05-27,Variant_B,Android,Referral
PF00012,app_open,2024-06-15,Variant_B,iOS,Referral
PF00012,signup_start,2024-06-15,Variant_B,iOS,Referral
PF00013,app_open,2024-02-26,Control,Android,Social Media
PF00013,signup_start,2024-02-28,Control,Android,Social Media
PF00013,signup_complete,2024-02-29,Control,Android,Social Media
PF00013,onboarding_start,2024-03-01,Control,Android,Social Media
PF00013,onboarding_complete,2024-03-02,Control,Android,Social Media
PF00013,kyc_submitted,2024-03-02,Control,Android,Social Media
PF00014,app_open,2024-05-31,Variant_B,Android,Organic Search
PF00014,signup_start,2024-06-01,Variant_B,Android,Organic Search
PF00014,signup_complete,2024-06-01,Variant_B,Android,Organic Search
PF00014,onboarding_start,2024-06-01,Variant_B,Android,Organic Search
PF00014,onboarding_complete,2024-06-02,Variant_B,Android,Organic Search
PF00015,app_open,2024-01-02,Variant_B,Android,Social Media
PF00015,signup_start,2024-01-02,Variant_B,Android,Social Media
PF00015,signup_complete,2024-01-03,Variant_B,Android,Social Media
PF00016,app_open,2024-06-28,Variant_B,Android,Referral
PF00016,signup_start,2024-06-30,Variant_B,Android,Referral
PF00016,signup_complete,2024-06-30,Variant_B,Android,Referral
PF00017,app_open,2024-03-29,Control,Android,Organic Search
PF00017,signup_start,2024-03-29,Control,Android,Organic Search
PF00017,signup_complete,2024-03-31,Control,Android,Organic Search
PF00017,onboarding_start,2024-04-02,Control,Android,Organic Search
