tx_id,user_id,tx_date,tx_month,tx_type,amount,status,device,channel,state
TX0000001,PF00001,2024-07-26,2024-07,Savings,7860.0,Success,Web,Social Media,Kano
TX0000002,PF00001,2024-07-09,2024-07,Data Bundle,15000.0,Success,Web,Social Media,Kano
TX0000003,PF00001,2024-07-25,2024-07,Transfer,50.0,Success,Web,Social Media,Kano
TX0000004,PF00001,2024-07-18,2024-07,Investment,45610.0,Success,Web,Social Media,Kano
TX0000005,PF00001,2024-07-08,2024-07,Transfer,35630.0,Success,Web,Social Media,Kano
TX0000006,PF00001,2024-07-04,2024-07,Data Bundle,8300.0,Success,Web,Social Media,Kano
TX0000007,PF00009,2024-09-06,2024-09,Airtime,1110.0,Success,Android,Social Media,Kaduna
TX0000008,PF00009,2024-09-16,2024-09,Card Payment,5980.0,Success,Android,Social Media,Kaduna
TX0000009,PF00009,2024-08-31,2024-08,Transfer,50.0,Success,Android,Social Media,Kaduna
TX0000010,PF00009,2024-08-30,2024-08,Transfer,50.0,Success,Android,Social Media,Kaduna
TX0000011,PF00009,2024-09-22,2024-09,Bill Payment,21710.0,Success,Android,Social Media,Kaduna
TX0000012,PF00009,2024-09-19,2024-09,Bill Payment,10060.0,Success,Android,Social Media,Kaduna
TX0000013,PF00014,2024-06-12,2024-06,Transfer,56030.0,Success,Android,Organic Search,Lagos
TX0000014,PF00014,2024-06-09,2024-06,Transfer,4450.0,Success,Android,Organic Search,Lagos
TX0000015,PF00014,2024-05-30,2024-05,Card Payment,10140.0,Success,Android,Organic Search,Lagos
TX0000016,PF00014,2024-06-03,2024-06,Transfer,11880.0,Success,Android,Organic Search,Lagos
TX0000017,PF00014,2024-06-26,2024-06,Bill Payment,4380.0,Success,Android,Organic Search,Lagos
TX0000018,PF00014,2024-05-30,2024-05,Transfer,17190.0,Success,Android,Organic Search,Lagos
TX0000019,PF00034,2024-05-28,2024-05,Bill Payment,19030.0,Success,Android,Social Media,Lagos
TX0000020,PF00034,2024-05-01,2024-05,Bill Payment,4210.0,Success,Android,Social Media,Lagos
TX0000021,PF00034,2024-05-01,2024-05,Transfer,45580.0,Failed,Android,Social Media,Lagos
TX0000022,PF00034,2024-05-04,2024-05,Transfer,7060.0,Success,Android,Social Media,Lagos
TX0000023,PF00034,2024-05-25,2024-05,Bill Payment,23740.0,Success,Android,Social Media,Lagos
TX0000024,PF00034,2024-05-09,2024-05,Data Bundle,4980.0,Success,Android,Social Media,Lagos
TX0000025,PF00034,2024-05-11,2024-05,Transfer,50.0,Success,Android,Social Media,Lagos
TX0000026,PF00034,2024-05-20,2024-05,Airtime,1140.0,Success,Android,Social Media,Lagos
TX0000027,PF00034,2024-05-07,2024-05,Transfer,93510.0,Failed,Android,Social Media,Lagos
TX0000028,PF00034,2024-05-18,2024-05,Transfer,42140.0,Success,Android,Social Media,Lagos
TX0000029,PF00034,2024-05-20,2024-05,Data Bundle,2960.0,Success,Android,Social Media,Lagos
TX0000030,PF00034,2024-05-28,2024-05,Airtime,1300.0,Success,Android,Social Media,Lagos
TX0000031,PF00038,2024-07-06,2024-07,Transfer,67590.0,Success,iOS,Social Media,Kaduna
TX0000032,PF00038,2024-07-01,2024-07,Bill Payment,6010.0,Success,iOS,Social Media,Kaduna
TX0000033,PF00038,2024-07-06,2024-07,Bill Payment,14280.0,Success,iOS,Social Media,Kaduna
TX0000034,PF00038,2024-07-03,2024-07,Transfer,1250.0,Success,iOS,Social Media,Kaduna
TX0000035,PF00038,2024-07-19,2024-07,Bill Payment,140.0,Success,iOS,Social Media,Kaduna
TX0000036,PF00039,2024-07-27,2024-07,Transfer,2110.0,Success,Web,Word of Mouth,Delta
TX0000037,PF00039,2024-07-25,2024-07,Transfer,50.0,Success,Web,Word of Mouth,Delta
TX0000038,PF00039,2024-08-26,2024-08,Transfer,25990.0,Success,Web,Word of Mouth,Delta
TX0000039,PF00039,2024-09-23,2024-09,Airtime,600.0,Success,Web,Word of Mouth,Delta
TX0000040,PF00044,2024-07-02,2024-07,Bill Payment,4220.0,Success,Web,Referral,Lagos
TX0000041,PF00044,2024-07-24,2024-07,Data Bundle,1800.0,Success,Web,Referral,Lagos
TX0000042,PF00044,2024-07-09,2024-07,Bill Payment,1340.0,Success,Web,Referral,Lagos
TX0000043,PF00046,2024-07-26,2024-07,Bill Payment,19090.0,Success,Web,Referral,Edo
TX0000044,PF00046,2024-07-09,2024-07,Savings,12010.0,Success,Web,Referral,Edo
TX0000045,PF00046,2024-07-01,2024-07,Data Bundle,1000.0,Failed,Web,Referral,Edo
TX0000046,PF00046,2024-07-05,2024-07,Data Bundle,1320.0,Success,Web,Referral,Edo
TX0000047,PF00046,2024-06-29,2024-06,Bill Payment,4920.0,Success,Web,Referral,Edo
TX0000048,PF00046,2024-07-09,2024-07,Bill Payment,12540.0,Pending,Web,Referral,Edo
TX0000049,PF00046,2024-07-09,2024-07,Transfer,39390.0,Success,Web,Referral,Edo
TX0000050,PF00046,2024-07-14,2024-07,Transfer,50.0,Failed,Web,Referral,Edo
TX0000051,PF00046,2024-06-30,2024-06,Transfer,50.0,Success,Web,Referral,Edo
TX0000052,PF00046,2024-07-15,2024-07,Investment,91100.0,Success,Web,Referral,Edo
TX0000053,PF00046,2024-07-19,2024-07,Transfer,20260.0,Success,Web,Referral,Edo
TX0000054,PF00046,2024-07-12,2024-07,Airtime,430.0,Success,Web,Referral,Edo
TX0000055,PF00046,2024-08-15,2024-08,Data Bundle,4030.0,Success,Web,Referral,Edo
TX0000056,PF00046,2024-08-21,2024-08,Airtime,1050.0,Success,Web,Referral,Edo
TX0000057,PF00046,2024-08-03,2024-08,Card Payment,7260.0,Success,Web,Referral,Edo
TX0000058,PF00046,2024-08-19,2024-08,Investment,33480.0,Success,Web,Referral,Edo
TX0000059,PF00047,2024-02-03,2024-02,Bill Payment,20070.0,Success,Android,App Store,Lagos
TX0000060,PF00047,2024-02-09,2024-02,Savings,14950.0,Success,Android,App Store,Lagos
TX0000061,PF00047,2024-02-09,2024-02,Airtime,340.0,Success,Android,App Store,Lagos
TX0000062,PF00049,2024-05-09,2024-05,Transfer,17850.0,Success,Android,Organic Search,Lagos
TX0000063,PF00049,2024-05-27,2024-05,Transfer,50.0,Success,Android,Organic Search,Lagos
TX0000064,PF00049,2024-05-16,2024-05,Card Payment,1310.0,Success,Android,Organic Search,Lagos
TX0000065,PF00049,2024-05-16,2024-05,Savings,17770.0,Success,Android,Organic Search,Lagos
TX0000066,PF00049,2024-05-19,2024-05,Investment,6030.0,Success,Android,Organic Search,Lagos
TX0000067,PF00049,2024-05-12,2024-05,Transfer,16710.0,Success,Android,Organic Search,Lagos
TX0000068,PF00049,2024-06-11,2024-06,Savings,13660.0,Success,Android,Organic Search,Lagos
TX0000069,PF00049,2024-06-17,2024-06,Bill Payment,6080.0,Success,Android,Organic Search,Lagos
