user_id,signup_date,signup_month,channel,device,age_group,state,occupation,ab_variant,completed_onboarding,activated,plan,last_active_date,months_observed,days_since_signup,is_churned
PF00001,2024-06-12,2024-06,Social Media,Web,35-44,Kano,Trader/Business Owner,Control,True,True,Free,2024-07-02,3,110,1
PF00002,2024-01-07,2024-01,Paid Ads,Web,18-24,Imo,Student,Variant_B,True,True,Free,2024-01-09,8,267,1
PF00003,2024-03-03,2024-03,Referral,Android,35-44,Lagos,Trader/Business Owner,Variant_B,False,False,Free,2024-06-06,7,211,1
PF00004,2024-02-05,2024-02,Organic Search,Android,18-24,Delta,Salaried Employee,Variant_B,True,True,Premium,2024-02-05,7,238,1
PF00005,2024-06-22,2024-06,Organic Search,Android,25-34,Lagos,Freelancer,Variant_B,False,False,Free,2024-09-20,3,100,0
PF00006,2024-05-19,2024-05,Referral,Android,25-34,Lagos,Trader/Business Owner,Variant_B,False,False,Free,2024-05-19,4,134,1
PF00007,2024-05-31,2024-05,Social Media,Android,25-34,Abuja,Student,Variant_B,True,True,Free,2024-06-03,4,122,1
PF00008,2024-01-09,2024-01,Social Media,Android,18-24,Delta,Trader/Business Owner,Variant_B,True,True,Basic,2024-01-09,8,265,1
PF00009,2024-01-24,2024-01,Social Media,Android,45-54,Kaduna,Student,Variant_B,True,True,Free,2024-09-03,8,250,0
PF00010,2024-02-29,2024-02,Social Media,Android,18-24,Rivers,Salaried Employee,Control,True,True,Premium,2024-02-29,7,214,1
PF00011,2024-05-23,2024-05,Referral,Android,25-34,Lagos,Student,Variant_B,True,True,Free,2024-05-24,4,130,1
PF00012,2024-06-15,2024-06,Referral,iOS,18-24,Abuja,Trader/Business Owner,Variant_B,True,True,Basic,2024-06-18,3,107,1
PF00013,2024-02-26,2024-02,Social Media,Android,18-24,Kano,Student,Control,False,False,Free,2024-02-29,7,217,1
PF00014,2024-05-30,2024-05,Organic Search,Android,35-44,Lagos,Trader/Business Owner,Variant_B,True,True,Free,2024-06-07,4,123,1
PF00015,2024-01-02,2024-01,Social Media,Android,35-44,Edo,Civil Servant,Variant_B,False,False,Basic,2024-01-03,9,272,1
PF00016,2024-06-27,2024-06,Referral,Android,55+,Lagos,Trader/Business Owner,Variant_B,True,False,Free,2024-06-30,3,95,1
PF00017,2024-03-28,2024-03,Organic Search,Android,25-34,Lagos,Other,Control,True,False,Free,2024-03-30,6,186,1
PF00018,2024-02-09,2024-02,Referral,iOS,18-24,Imo,Salaried Employee,Variant_B,False,False,Free,2024-02-10,7,234,1
PF00019,2024-03-27,2024-03,App Store,Android,18-24,Rivers,Civil Servant,Variant_B,False,True,Free,2024-03-27,6,187,1
PF00020,2024-01-24,2024-01,Organic Search,iOS,25-34,Abuja,Salaried Employee,Variant_B,False,False,Free,2024-01-27,8,250,1
PF00021,2024-01-25,2024-01,Organic Search,iOS,18-24,Rivers,Salaried Employee,Control,False,False,Free,2024-03-12,8,249,1
PF00022,2024-03-29,2024-03,App Store,Android,25-34,Oyo,Trader/Business Owner,Variant_B,False,False,Free,2024-08-17,6,185,1
PF00023,2024-03-08,2024-03,App Store,iOS,25-34,Lagos,Trader/Business Owner,Variant_B,True,True,Free,2024-03-08,6,206,1
PF00024,2024-04-27,2024-04,Organic Search,iOS,18-24,Lagos,Salaried Employee,Variant_B,True,True,Premium,2024-04-27,5,156,1
PF00025,2024-04-06,2024-04,Organic Search,Android,25-34,Kano,Student,Variant_B,True,True,Premium,2024-04-06,5,177,1
PF00026,2024-05-21,2024-05,Word of Mouth,Web,35-44,Kaduna,Student,Control,False,False,Free,2024-05-23,4,132,1
PF00027,2024-06-09,2024-06,Organic Search,Android,18-24,Lagos,Trader/Business Owner,Control,True,True,Free,2024-06-11,3,113,1
PF00028,2024-05-27,2024-05,Referral,iOS,25-34,Edo,Trader/Business Owner,Control,False,True,Free,2024-05-28,4,126,1
PF00029,2024-06-29,2024-06,Social Media,iOS,25-34,Edo,Civil Servant,Control,False,False,Free,2024-06-29,3,93,1
PF00030,2024-01-12,2024-01,Social Media,Android,18-24,Lagos,Other,Control,True,True,Premium,2024-01-13,8,262,1
PF00031,2024-03-15,2024-03,App Store,iOS,18-24,Rivers,Trader/Business Owner,Control,True,False,Free,2024-03-15,6,199,1
PF00032,2024-02-29,2024-02,Referral,Android,25-34,Edo,Trader/Business Owner,Control,True,False,Free,2024-02-29,7,214,1
PF00033,2024-04-07,2024-04,Paid Ads,iOS,25-34,Edo,Trader/Business Owner,Control,True,True,Basic,2024-04-09,5,176,1
PF00034,2024-04-26,2024-04,Social Media,Android,25-34,Lagos,Salaried Employee,Control,False,True,Premium,2024-05-20,5,157,1
PF00035,2024-04-03,2024-04,Referral,Web,25-34,Kano,Student,Control,False,False,Free,2024-04-04,6,180,1
PF00036,2024-04-04,2024-04,Organic Search,Android,18-24,Oyo,Salaried Employee,Variant_B,True,True,Premium,2024-04-06,5,179,1
PF00037,2024-02-23,2024-02,Paid Ads,Android,45-54,Kaduna,Civil Servant,Variant_B,True,False,Free,2024-02-25,7,220,1
PF00038,2024-06-28,2024-06,Social Media,iOS,25-34,Kaduna,Salaried Employee,Control,True,True,Free,2024-07-20,3,94,1
